cntry,agea,Gender,Education_Level,Occupation_Code_Name,hinctnta,Pol_Interest_Level,lrscale,Vote_Status,Interpersonal_Trust,Institutional_Trust,National_Econ_Sat,Household_Fin_Sat,Pol_News_Freq,Internet_Use_Freq,happy
NL,30.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,2.0,Middle,5.0,Yes,Low,Medium,Middle,Middle,Often,Often,4.0
SE,24.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,5.0,Middle,0.0,,High,Low,Pessimistic,Middle,Middle,Often,10.0
SK,41.0,Male,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",4.0,Middle,4.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Rarely,4.0
SI,57.0,Female,Tertiary/Bachelor's Degree,9-Elementary Occupations,1.0,Middle,5.0,Yes,Medium,Low,Middle,Optimistic,Often,Often,10.0
LV,70.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,High,3.0,Yes,Low,Low,Pessimistic,Pessimistic,Often,Rarely,3.0
FR,53.0,Female,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",2.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Middle,Middle,Rarely,5.0
ES,51.0,Female,Low (Primary/Lower Secondary),5-Service and Sales Workers,5.0,Middle,3.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,2.0
PL,60.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",4.0,Middle,2.0,Yes,Medium,Low,Middle,Optimistic,Rarely,Rarely,10.0
BG,51.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,2.0,High,3.0,No,Low,Low,Middle,Pessimistic,Rarely,Rarely,3.0
SK,59.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,4.0,High,0.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,10.0
ME,59.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,4.0,High,5.0,Yes,Low,Medium,Pessimistic,Middle,Middle,Rarely,4.0
BG,56.0,Female,Low (Primary/Lower Secondary),3-Technicians and Associate Professionals,4.0,Middle,5.0,Yes,Low,High,Middle,Pessimistic,Rarely,Often,5.0
IT,52.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,Middle,5.0,No,Low,Medium,Pessimistic,Middle,Rarely,Often,3.0
SK,53.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,1.0,Middle,5.0,Yes,Low,Low,Middle,Pessimistic,Middle,Rarely,5.0
IT,21.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,High,5.0,,Medium,Medium,Middle,Pessimistic,Often,Rarely,10.0
GB,61.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,2.0,High,5.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,5.0
AT,41.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Low,5.0,Yes,Medium,Low,Middle,Middle,Middle,Often,10.0
DE,42.0,Female,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,High,5.0,No,Low,Low,Pessimistic,Pessimistic,Often,Often,3.0
SI,85.0,Male,Upper Secondary/Vocational,1-Managers,3.0,Middle,10.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Rarely,5.0
PT,81.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,High,5.0,No,Medium,Low,Middle,Optimistic,Often,Rarely,10.0
PL,64.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,4.0,Middle,5.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Often,3.0
CH,31.0,Female,Upper Secondary/Vocational,4-Clerical Support Workers,5.0,Middle,10.0,Yes,Low,Low,Pessimistic,Middle,Rarely,Often,5.0
IS,30.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,Middle,5.0,Yes,Medium,Medium,Middle,Optimistic,Rarely,Often,3.0
GB,50.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,1.0,Middle,2.0,Yes,Low,Low,Pessimistic,Optimistic,Middle,Rarely,5.0
FR,50.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,3.0,High,5.0,Yes,Low,Low,Middle,Middle,Rarely,Rarely,4.0
AT,67.0,Male,Upper Secondary/Vocational,1-Managers,3.0,Low,4.0,Yes,Medium,Low,Middle,Middle,Middle,Rarely,4.0
GB,25.0,Male,Tertiary/Bachelor's Degree,5-Service and Sales Workers,2.0,High,0.0,No,Medium,Low,Pessimistic,Optimistic,Rarely,Rarely,4.0
